id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
4082,Men,Apparel,Topwear,Tshirts,Beige,Summer,2011.0,Casual,Inkfruit Men's Avast Ye Beige T-shirt
11363,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Tshirt
14654,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Probase Men Funky Music Aqua Blue Tshirts
48407,Men,Apparel,Topwear,Tshirts,Brown,Summer,2012.0,Casual,French Connection Men Brown Printed T-shirt
38479,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Gini and Jony Boys Core Green T-shirt
9869,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Status Quo Men Grey Polo Tshirts
2936,Women,Apparel,Topwear,Tshirts,Maroon,Fall,2010.0,Casual,DUSG Women's Red Polo T-shirt
24270,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Quiksilver Men Navy Blue T-shirt
15160,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Arrow Sport Men Stripes Orange Polo Tshirts
12932,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Classic Polo Men Insignia Pink Tshirts
16821,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Little Miss Women Printed Purple T-shirt
34261,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Printed Red T-shirt
3944,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Jealous 21 Women's White Happy Preetiest T-shirt
2345,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2010.0,Casual,Reebok Men Graphic Yellow T-shirt
34206,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Proline Men Beige T-shirt
14534,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Mark Taylor Men Printed Black Tshirts
16285,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Peter England Men Printed Blue TShirt
7291,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Mickey Men's Donald Salute Star Brown T-shirt
8280,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Mr.Men Men's Green Black T-shirt
6166,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Lee Men's City Stormy Grey T-shirt
28491,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2012.0,Casual,Urban Yoga Men Maroon T-shirt
16637,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2016.0,Casual,Facit Men Smart Navy Blue Tshirt
2687,Women,Apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Inkfruit Women's Love Wood Orange T-shirt
3079,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Probase Men's Player Pink T-shirt
9790,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Sports,Puma Women Large Logo Purple Tshirts
4752,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Sports,ADIDAS Men's Red Polo T-shirt
13511,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Chimp Men Mumbai Opens White Tshirts
34426,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Casual,Myntra Women Face Yellow T-shirt
26261,Men,Apparel,Topwear,Tshirts,Beige,Summer,2013.0,Casual,Proline Men Beige Polo Tshirt
32440,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Sports,ADIDAS Men Black Polo T-shirt
18618,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Puma Men Team Essential Moonlight Steelblue Polo Tshirts
16421,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Levi's Men Stripes Brown Tshirts
16448,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Casual,Levi's Men Stripes Green Tshirts
19456,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Quiksilver Men Printed Grey T-shirt
14646,Men,Apparel,Topwear,Tshirts,Maroon,Fall,2011.0,Casual,Probase Men Funky Music Maroon Tshirts
28929,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Mr. Men Printed Navy Blue T-shirt
11725,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Lee Men Printed Orange Tshirts
20330,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Mr.Men Little Miss Men Printed Fushia Pink Tshirt
24567,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Lee Women Crownjewel Purple T-Shirt
10602,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Nike Men Football Soccer Red Jerseys
6251,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Lee Women's Fergie White T-shirt
43085,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2012.0,Sports,Nike Women Yellow Polo Neck T-shirt
37154,Men,Apparel,Topwear,Tshirts,Beige,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirts
6482,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Strip Polo Black Green T-shirt
1165,Men,Apparel,Topwear,Tshirts,Blue,Summer,2013.0,Sports,Nike Mean Team India Cricket Jersey
7341,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011.0,Casual,Tantra Men Brown T-shirt
40974,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Gini and Jony Boys United Green T-shirt
19631,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,United Colors of Benetton Men Solid Grey T-shirt
2837,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2011.0,Casual,Mr.Men Maroon T-shirt
40098,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,ADIDAS Men Navy Blue T-shirt
8384,Girls,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Doodle Girl's Hippie Chic Orange Kidswear
12645,Men,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Probase Men Stripes Pink Polo T-shirts
11027,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Wrangler Women Poloroid Purple T-Shirts
6716,Men,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Locomotive Men's Round Neck Red T-shirt
26866,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Jealous 21 Women Printed White T-shirt
10690,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Doodle Boy Mummy daddy me Yellow Tshirts
37153,Men,Apparel,Topwear,Tshirts,Beige,Summer,2016.0,Casual,Campbell Men Pack of 3 T-shirt
32962,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Angry Birds Men Printed Black T-shirt
6037,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,UCB Women's With Crystal Benetton At Front Blue T-shirt
6940,Men,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Tantra Men's Yoga Choco T-shirt
41593,Men,Apparel,Topwear,Shirts,Beige,Summer,2012.0,Casual,Basics Men Beige Striped Shirt
8796,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Black White Check Shirt
9631,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Price catch Blue Shirts
19835,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,U.S. Polo Assn. Men Check Brown Shirt
29821,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Basics Men Green Checked Shirt
56770,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Casual,Horsefly Men Grey & Blue Striped Shirt
19182,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,United Colors Of Benetton Men Maroon Check Shirt
30106,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Flying Machine Men Navy Blue Shirt
17539,Men,Apparel,Topwear,Shirts,Orange,Fall,2011.0,Formal,Mark Taylor Men Orange & White Striped Shirt
59439,Men,Apparel,Topwear,Shirts,Pink,Fall,2012.0,Formal,Arrow Men Pink Slim Fit Shirt
17726,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Reid & Taylor Men Stripes Purple Shirt
12303,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,Genesis Men Check Red Shirts
10788,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Wrangler Men Malbork White Shirt
11678,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Lee Men Check Yellow Shirts
13929,Men,Apparel,Topwear,Shirts,Beige,Summer,2011.0,Casual,United Colors of Benetton Men Solid Beige Shirts
12298,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,Genesis Men Check Black Shirts
8183,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Locomotive Men Check Lae Blue Shirts
19829,Men,Apparel,Topwear,Shirts,Brown,Fall,2011.0,Casual,U.S. Polo Assn. Men Check Brown Shirt
5993,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Locomotive Men Green Grey White Checked Shirt
12259,Men,Apparel,Topwear,Shirts,Grey,Winter,2011.0,Formal,Genesis Grey Formal Shirt
